                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.48443,                0.44177,                 0.9554,                 0.8785,                0.88549,                0.92351,                0.81903,                0.49838,                0.54199,                0.92988,             0.00076325,             0.00076325,             0.00076325
                    117,                0.47922,                0.42508,                0.95483,                0.86036,                0.88951,                0.92241,                0.82408,                0.49831,                0.54542,                0.92116,             0.00075539,             0.00075539,             0.00075539
                    118,                0.47373,                0.42789,                0.93983,                0.87893,                 0.8833,                0.92626,                0.82283,                0.48598,                0.54595,                 0.9199,             0.00074753,             0.00074753,             0.00074753
                    119,                0.48136,                0.42738,                0.95341,                0.87261,                0.90547,                0.92598,                0.82722,                0.48258,                0.52262,                0.91783,             0.00073967,             0.00073967,             0.00073967
                    120,                0.46714,                0.41863,                0.94325,                0.89394,                0.87278,                0.92064,                0.81895,                0.49129,                0.53518,                0.92557,             0.00073181,             0.00073181,             0.00073181
                    121,                0.48059,                0.43137,                0.96429,                0.87481,                0.88921,                 0.9183,                0.81855,                0.50412,                 0.5377,                0.92829,             0.00072395,             0.00072395,             0.00072395
                    122,                0.46625,                0.41043,                0.93143,                0.87089,                 0.8935,                0.92353,                0.82401,                0.49237,                0.53282,                0.92481,              0.0007161,              0.0007161,              0.0007161
                    123,                0.46827,                0.41916,                0.94723,                 0.8909,                0.87595,                0.92909,                0.82942,                0.47748,                0.52144,                0.91748,             0.00070824,             0.00070824,             0.00070824
                    124,                0.46541,                0.42359,                0.94417,                0.87692,                0.89985,                0.92886,                0.82583,                0.49569,                0.51602,                0.92217,             0.00070038,             0.00070038,             0.00070038
                    125,                0.45865,                0.41721,                0.93533,                0.86054,                0.90951,                0.92684,                0.82152,                0.49586,                0.52812,                0.93039,             0.00069252,             0.00069252,             0.00069252
                    126,                0.45417,                0.41822,                0.93682,                0.87563,                0.88553,                0.91997,                0.82372,                0.48726,                0.52927,                0.93067,             0.00068466,             0.00068466,             0.00068466
                    127,                0.46054,                0.40801,                0.94194,                0.87597,                0.91965,                0.92964,                0.83142,                0.49046,                0.51757,                0.92179,              0.0006768,              0.0006768,              0.0006768
                    128,                0.45312,                0.40939,                0.93899,                0.89888,                0.87392,                0.92423,                0.82048,                0.48929,                0.52123,                0.92666,             0.00066894,             0.00066894,             0.00066894
                    129,                0.45405,                0.40104,                0.94061,                0.89554,                0.86243,                0.91892,                0.81695,                0.50018,                0.55095,                0.92945,             0.00066108,             0.00066108,             0.00066108
                    130,                0.46113,                0.40885,                0.93672,                0.91364,                0.85935,                0.92259,                0.82231,                0.49231,                0.54605,                0.93084,             0.00065323,             0.00065323,             0.00065323
                    131,                0.47029,                0.41661,                0.94096,                0.90272,                0.87411,                0.92595,                0.82392,                0.48667,                0.54361,                 0.9199,             0.00064537,             0.00064537,             0.00064537
                    132,                0.45309,                0.40422,                0.94039,                0.90422,                0.88241,                0.93002,                0.82883,                0.48884,                0.52203,                0.92057,             0.00063751,             0.00063751,             0.00063751
                    133,                0.44709,                0.39269,                0.92785,                 0.8913,                0.88819,                0.92594,                0.82753,                0.47957,                0.51597,                0.91805,             0.00062965,             0.00062965,             0.00062965
                    134,                 0.4434,                 0.4025,                0.93511,                0.86869,                0.90446,                0.93117,                 0.8259,                0.49835,                0.52308,                 0.9286,             0.00062179,             0.00062179,             0.00062179
                    135,                0.45319,                0.39727,                 0.9307,                0.91445,                0.86991,                0.92828,                0.82848,                0.49499,                0.53505,                0.92366,             0.00061393,             0.00061393,             0.00061393
                    136,                0.44479,                0.40231,                0.93095,                0.88852,                0.88588,                0.93205,                0.83633,                 0.4807,                0.51137,                0.92312,             0.00060607,             0.00060607,             0.00060607
                    137,                0.44237,                0.39851,                0.92973,                0.86067,                0.89195,                0.92534,                0.82935,                0.48386,                0.54062,                0.92282,             0.00059821,             0.00059821,             0.00059821
                    138,                0.44982,                0.40157,                0.92993,                0.89846,                0.85593,                0.92382,                0.82049,                0.48529,                0.52659,                0.92951,             0.00059036,             0.00059036,             0.00059036
                    139,                0.44507,                0.39677,                0.93026,                0.88825,                 0.8895,                 0.9281,                0.83339,                0.47862,                 0.5193,                0.91834,              0.0005825,              0.0005825,              0.0005825
                    140,                0.43868,                0.38305,                0.93491,                0.90737,                 0.8561,                0.92483,                0.82504,                0.48729,                0.54606,                0.92253,             0.00057464,             0.00057464,             0.00057464
                    141,                0.43149,                0.37216,                0.91819,                 0.8974,                0.88496,                0.92274,                0.83253,                0.47845,                0.53426,                0.91672,             0.00056678,             0.00056678,             0.00056678
                    142,                0.44102,                0.38875,                0.92927,                 0.8883,                0.88191,                0.92359,                0.83464,                0.46968,                0.54058,                0.90938,             0.00055892,             0.00055892,             0.00055892
                    143,                0.44121,                0.38946,                 0.9288,                0.88618,                0.88339,                0.92679,                 0.8343,                0.48364,                0.52689,                0.92704,             0.00055106,             0.00055106,             0.00055106
                    144,                 0.4401,                0.39907,                0.92221,                  0.896,                0.87837,                0.92579,                0.82752,                0.47711,                0.53263,                0.92236,              0.0005432,              0.0005432,              0.0005432
                    145,                0.43523,                0.37692,                0.92905,                 0.8727,                0.90043,                0.92201,                0.82421,                0.47937,                0.52622,                0.92377,             0.00053535,             0.00053535,             0.00053535
                    146,                0.43143,                 0.3886,                0.92367,                0.87624,                0.86863,                0.92175,                0.82937,                 0.4828,                0.55577,                0.91775,             0.00052749,             0.00052749,             0.00052749
                    147,                0.42972,                0.37538,                0.91715,                0.88553,                0.88069,                0.92485,                0.83816,                0.46128,                0.52968,                0.90591,             0.00051963,             0.00051963,             0.00051963
                    148,                0.43688,                0.38157,                0.93304,                0.89102,                0.87561,                0.92511,                0.83203,                0.47145,                0.53363,                0.91291,             0.00051177,             0.00051177,             0.00051177
                    149,                0.42348,                0.36847,                0.92294,                0.90697,                0.87221,                0.92967,                0.83827,                 0.4601,                0.51534,                0.90591,             0.00050391,             0.00050391,             0.00050391
                    150,                 0.4185,                0.36885,                0.91542,                0.89304,                0.88418,                0.92396,                 0.8354,                 0.4636,                0.54379,                0.90607,             0.00049605,             0.00049605,             0.00049605
                    151,                0.43846,                0.36845,                0.92871,                0.88485,                 0.8773,                0.92462,                0.83594,                0.46698,                 0.5484,                0.90519,             0.00048819,             0.00048819,             0.00048819
                    152,                0.42301,                0.36381,                0.91944,                0.88542,                0.89246,                0.92697,                0.83686,                0.46642,                0.53221,                0.90507,             0.00048033,             0.00048033,             0.00048033
                    153,                0.42834,                0.37554,                0.92251,                0.87793,                0.89282,                0.92531,                0.83592,                0.46907,                0.53386,                0.91238,             0.00047248,             0.00047248,             0.00047248
                    154,                0.42709,                0.36771,                0.92355,                0.89003,                 0.8897,                0.92513,                 0.8395,                 0.4682,                0.53503,                0.91331,             0.00046462,             0.00046462,             0.00046462
